language,name,description,category,students,instructor,link
English,ISO 14001 - Environmental Management System (EMS) Course,"Mastering ISO 14001: Sustainability, Compliance, Implementation",Business,Undefined,Petar Dimov,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/iso-14001-environmental-management-system-ems-course/?couponCode=FEB2-FREE
English,Aerospace Engineering: The Complete Aerodynamics Course,Unlocking Flight Dynamics: Mastering Transonic Aerodynamics and Airfoil Design,Teaching & Academics,Undefined,Petar Dimov,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/aerospace-engineering-the-complete-aerodynamics-course/?couponCode=FEB2-FREE
English,The Complete Mobile Notary Business Course,Unlocking Success in the Mobile Notary Business: From Commission to Prosperity,Business,Undefined,Petar Dimov,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/the-complete-mobile-notary-business-course/?couponCode=FEB2-FREE
English,The Complete ISO 13485 QA Course for Medical Devices,Master ISO 13485: Elevate Medical Device Quality Assurance,Business,Undefined,Petar Dimov,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/the-complete-iso-13485-qa-course-for-medical-devices/?couponCode=FEB2-FREE
English,The Complete ISO 22301 Business Continuity Management Course,"Master ISO 22301: BCM Essentials, Risk Assessment, Continuity Planning, Evaluation",Business,Undefined,Petar Dimov,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/the-complete-iso-22301-business-continuity-management-course/?couponCode=FEB2-FREE
English,The Complete Good Manufacturing Practices (GMP) Course,"Master GMP Essentials: Quality, Compliance, Excellence",Business,Undefined,Petar Dimov,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/good-manufacturing-practices-gmp-certification-course-n/?couponCode=FEB2-FREE
English,The Complete Customer Success Manager (CSM) Course,"Master Customer Success: Strategies, Skills, and Metrics for Success",Business,Undefined,Petar Dimov,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/the-complete-customer-success-manager-csm-course/?couponCode=FEB2-FREE
English,Ultimate Beginner Guide to Streamlabs OBS (OBS),"Learn everything you need about livestreaming on Twitch, YouTube, Mixer and more with SLOBS fast and easy",IT & Software,Undefined,Nick Nyxson,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/ultimate-beginner-guide-for-streamlabs-obs/?couponCode=E159E9E344BD559DB0E9
English,Negotiation A-Z - Inside Secrets from a Master Negotiator,Negotiating Agreement Without Giving In. How To Get What You Want. Negotiating in Difficult Situations.,Business,Undefined,"Ash Akshay Goel, Susmita Dutta",https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/neuro-negotiation-system-become-number-one-negotiator-and-make-or-save-money/?couponCode=FEB2024FREE01
English,Power of Your Mind - Hypnosis and EFT Reprogramming,Get 55 Hypnosis & 18 EFT Downloads to unlock your brilliance with natures gift and the power of Hypnosis and EFT,Lifestyle,Undefined,Alan Kirwan,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/get-more-happiness-with-hypnosis/?couponCode=BE823DEBD886B45BEE19
English,The Complete ISO 17025 Course,"ISO 17025, Quality, Calibration; Quality Management in Laboratories; Precision Calibration Techniques; Compliance",IT & Software,Undefined,Petar Dimov,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/the-complete-iso17025-course-from-zero-to-hero/?couponCode=FEB2-FREE
English,"Master the Art of the Persuasive ""PITCH DECK"" Presentations","From Idea to Investment: Craft Winning Pitch Decks + Downloadable Templates, Expert Resources, & Bonus Tools!",Business,Undefined,Md. Asif Iqbal,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/art-of-the-persuasive-pitch-deck-presentations/?couponCode=081BB82D71537A9F1F88
English,Introduction to Domain Names and Web Hosting - Quick Guide,Learn how Domain Names Work and Types of Web Hosting for any Web Development Project,Development,Undefined,YouAccel Training,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/introduction-to-domain-names-and-web-hosting-quick-guide/?couponCode=YOUACCEL70976
English,Configure NGINX on a Cloud Server: Digital Ocean & AWS,Digital Ocean | NGINX | LEMP Stack | Domain Names | SSL | WordPress | AWS Foundations | Amazon EC2 | AWS Storage | ELB,Development,Undefined,YouAccel Training,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/configure-nginx-on-a-cloud-server-digital-ocean-aws/?couponCode=YOUACCEL70976
English,"Cloud Computing Essentials: Linode, Linux, and LAMP Stack","From Beginner to Pro: A Comprehensive Guide to Cloud Computing with Linode, Linux, and LAMP Stack",Development,Undefined,YouAccel Training,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/cloud-computing-essentials-linode-linux-and-lamp-stack/?couponCode=YOUACCEL70976
English,Linode: Build and Deploy Responsive Websites on the Cloud,Cloud Computing | IaaS | Linux Foundations | Apache + DBMS | LAMP Stack | Server Security | Backups | HTML | CSS,Development,Undefined,YouAccel Training,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/linode-build-and-deploy-responsive-websites-on-the-cloud/?couponCode=YOUACCEL70976
English,How the Internet Works & the Web Development Process,"Learn how the Internet Works - HTTP/HTTPS, Mail Delivery (SMTP), LAN, WAN, Network Basics & Firewalls",Development,Undefined,YouAccel Training,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/how-the-internet-works-the-web-development-process/?couponCode=YOUACCEL18250
